id;name;address;phone_number;email
1;Assistant;Generic heuristic;80068;Dalton_Dickinson@hotmail.com
2;User-friendly Rustic;SQL;31883;Graham_Green@hotmail.com
3;Cotton;Implementation Western Sahara generate;54745;Myriam80@yahoo.com
4;indexing Chile;Extended;41861;Marisa.Schinner92@hotmail.com
5;online;fuchsia Administrator Gorgeous;67254;Erling69@hotmail.com
6;Ergonomic California withdrawal;invoice secondary database;30600;Kellie.Smitham@hotmail.com
7;digital Ford Licensed;Kids;70355;Maxwell_Erdman@gmail.com
8;Falkland Islands Pound Lilangeni Investment Account;Electronics;93409;Owen_Huels@gmail.com
9;Lead Tuna;Pine COM Rhode Island;45343;Maurice.Morissette7@gmail.com
10;white;bypass hacking Christmas Island;50685;Kaia.Cruickshank@yahoo.com
